"CT County Subdivisions,Year",Year,Town,Juvenile arrests Rate,"Juvenile arrests, Total arrests, 10 to 17 years, Number","Total population, 10 to 17 years, Number"
"9,011,299,102,003",2003,Franklin,446.43,1,224
"9,005,433,702,000",2000,Litchfield,,,
"9,001,863,702,010",2010,Wilton,1396.46,41,2936
"9,003,705,501,999",1999,Southington,,,
"9,007,153,501,998",1998,Clinton,,,
"9,003,447,002,000",2000,Manchester,,,
"9,011,159,102,009",2009,Colchester,2379.84,51,2143
"9,009,475,352,001",2001,Milford,,,
"9,003,849,002,010",2010,Wethersfield,3082.06,83,2693
"92,009",2009,Connecticut,4769.49,18626,390524
"9,007,352,302,010",2010,Haddam,628.27,6,955
"9,013,449,102,000",2000,Mansfield,,,
"9,009,622,902,005",2005,Prospect,,,
"9,009,356,502,010",2010,Hamden,2310.96,125,5409
"9,001,486,202,001",2001,Monroe,,,
"9,013,859,502,010",2010,Willington,0,0,601
"9,011,423,902,007",2007,Lebanon,852.88,8,938
"9,003,458,202,000",2000,Marlborough,,,
"9,015,627,102,005",2005,Putnam,,,
"9,013,178,002,009",2009,Coventry,2306.65,34,1474
"9,011,489,002,001",2001,Montville,,,
"9,011,426,002,007",2007,Ledyard,1150.03,22,1913
"9,015,360,002,010",2010,Hampton,0,0,186
"9,009,465,202,000",2000,Meriden,,,
"9,001,634,802,005",2005,Redding,,,
"9,007,180,802,009",2009,Cromwell,8286.12,117,1412
"9,009,499,502,001",2001,Naugatuck,,,
"9,005,433,702,007",2007,Litchfield,5656.57,56,990
"9,003,370,702,010",2010,Hartford,8318.77,1190,14305
"9,007,473,602,000",2000,Middletown,,,
"9,001,639,702,005",2005,Ridgefield,,,
"9,001,185,002,009",2009,Danbury,7151.03,500,6992
"9,003,504,402,001",2001,New Britain,,,
"9,009,445,602,007",2007,Madison,1686.02,45,2669
"9,003,371,402,010",2010,Hartland,947.87,2,211
"9,009,475,352,000",2000,Milford,,,
"9,003,653,702,005",2005,Rocky Hill,,,
"9,001,188,502,009",2009,Darien,711.53,24,3373
"9,001,505,802,001",2001,New Canaan,,,
"9,003,447,002,007",2007,Manchester,18400.59,994,5402
"9,005,372,802,010",2010,Harwinton,2958.58,20,676
"9,001,486,202,000",2000,Monroe,,,
"9,005,664,202,005",2005,Salisbury,,,
"9,007,191,302,009",2009,Deep River,10105.26,48,475
"9,001,508,602,001",2001,New Fairfield,,,
"9,013,449,102,007",2007,Mansfield,4247.39,57,1342
"9,013,379,102,010",2010,Hebron,1095.14,16,1461
"9,011,489,002,000",2000,Montville,,,
"9,009,676,102,005",2005,Seymour,,,
"9,009,195,502,009",2009,Derby,5152.03,61,1184
"9,005,513,502,001",2001,New Hartford,,,
"9,003,458,202,007",2007,Marlborough,1430.43,11,769
"9,005,402,902,010",2010,Kent,757.58,2,264
"9,009,499,502,000",2000,Naugatuck,,,
"9,001,681,702,005",2005,Shelton,,,
"9,007,208,102,009",2009,Durham,1165.05,12,1030
"9,009,520,702,001",2001,New Haven,,,
"9,009,465,202,007",2007,Meriden,8721.19,579,6639
"9,015,405,002,010",2010,Killingly,2650.47,48,1811
"9,003,504,402,000",2000,New Britain,,,
"9,003,689,402,005",2005,Simsbury,,,
"9,003,220,702,009",2009,East Granby,1134.52,7,617
"9,011,523,502,001",2001,New London,,,
"9,009,469,402,007",2007,Middlebury,1337.79,12,897
"9,007,407,102,010",2010,Killingworth,967.35,8,827
"9,001,505,802,000",2000,New Canaan,,,
"9,013,692,202,005",2005,Somers,,,
"9,007,222,802,009",2009,East Haddam,969.93,10,1031
"9,005,526,302,001",2001,New Milford,,,
"9,007,473,602,007",2007,Middletown,7533.57,303,4022
"9,011,423,902,010",2010,Lebanon,1722.28,16,929
"9,001,508,602,000",2000,New Fairfield,,,
"9,003,713,902,005",2005,South Windsor,,,
"9,007,224,902,009",2009,East Hampton,2397.74,34,1418
"9,003,521,402,001",2001,Newington,,,
"9,009,475,352,007",2007,Milford,4707.45,247,5247
"9,011,426,002,010",2010,Ledyard,1404.65,26,1851
"9,005,513,502,000",2000,New Hartford,,,
"9,009,696,402,005",2005,Southbury,,,
"9,003,226,302,009",2009,East Hartford,8243.99,446,5410
"9,001,529,802,001",2001,Newtown,,,
"9,001,486,202,007",2007,Monroe,953.08,26,2728
"9,011,432,302,010",2010,Lisbon,2645.5,15,567
"9,009,520,702,000",2000,New Haven,,,
"9,003,705,502,005",2005,Southington,,,
"9,009,229,102,009",2009,East Haven,2380.09,66,2773
"9,009,538,902,001",2001,North Branford,,,
"9,011,489,002,007",2007,Montville,4875.62,98,2010
"9,005,433,702,010",2010,Litchfield,1981.23,19,959
"9,011,523,502,000",2000,New London,,,
"9,013,720,902,005",2005,Stafford,,,
"9,011,234,002,009",2009,East Lyme,1227.62,24,1955
"9,005,540,302,001",2001,North Canaan,,,
"9,009,499,502,007",2007,Naugatuck,3153.28,115,3647
"9,011,442,102,010",2010,Lyme,0,0,237
"9,005,526,302,000",2000,New Milford,,,
"9,001,730,702,005",2005,Stamford,,,
"9,003,248,002,009",2009,East Windsor,6169.15,62,1005
"9,009,548,702,001",2001,North Haven,,,
"9,003,504,402,007",2007,New Britain,13618.05,1014,7446
