"CT County Subdivisions,Year",Year,Town,Total property crime Rate,"Crime, Total property crime, Number","Total estimated population, Number"
"9,001,047,202,009",2009,Bethel,1160.16,215,18532
"9,001,634,802,006",2006,Redding,727.02,64,8803
"9,003,248,002,010",2010,East Windsor,2893.75,323,11162
"9,011,234,002,009",2009,East Lyme,1039.1,198,19055
"9,007,262,702,010",2010,Essex,598.53,40,6683
"9,009,828,702,004",2004,West Haven,3366.76,1806,53642
"9,001,185,002,010",2010,Danbury,1872.84,1515,80893
"9,007,470,801,998",1998,Middlefield,1522.72,64,4203
"9,001,486,202,010",2010,Monroe,713.59,139,19479
"9,003,504,402,002",2002,New Britain,4398.1,3161,71872
"9,005,795,102,007",2007,Warren,643.32,9,1399
"9,001,639,702,006",2006,Ridgefield,350.66,85,24240
"9,003,059,102,009",2009,Bloomfield,2544.62,519,20396
"9,011,423,902,002",2002,Lebanon,815.8,57,6987
"9,001,266,202,010",2010,Fairfield,1762.51,1047,59404
"9,005,659,302,010",2010,Roxbury,486.3,11,2262
"9,007,816,802,004",2004,Westbrook,1007.63,66,6550
"9,001,188,502,010",2010,Darien,699.4,145,20732
"9,013,778,302,009",2009,Union,238.66,2,838
"9,009,229,102,010",2010,East Haven,3274.43,958,29257
"9,011,802,802,003",2003,Waterford,3317.41,639,19262
"9,007,473,601,998",1998,Middletown,3356.73,1449,43167
"9,005,797,202,007",2007,Washington,697.74,25,3583
"9,003,653,702,006",2006,Rocky Hill,1514.83,288,19012
"9,001,238,902,010",2010,Easton,467.29,35,7490
"9,009,349,501,999",1999,Guilford,1888.03,404,21398
"9,003,276,002,010",2010,Farmington,2758.48,699,25340
"9,003,248,002,009",2009,East Windsor,3890.1,429,11028
"9,001,834,302,004",2004,Weston,564.69,57,10094
"9,003,226,302,010",2010,East Hartford,3061.34,1569,51252
"9,013,782,502,009",2009,Vernon,1300.44,378,29067
"9,011,342,502,010",2010,Groton,396.36,159,40115
"9,015,218,602,009",2009,Eastford,172.81,3,1736
"9,013,178,002,010",2010,Coventry,1351.03,168,12435
"9,009,800,702,007",2007,Waterbury,5211.17,5703,109438
"9,009,475,351,998",1998,Milford,3999.62,2092,52305
"9,013,253,602,010",2010,Ellington,403.79,63,15602
"9,001,238,902,009",2009,Easton,843.6,63,7468
"9,011,299,102,010",2010,Franklin,2393.34,46,1922
"9,005,664,202,010",2010,Salisbury,1122.69,42,3741
"9,001,835,002,004",2004,Westport,1922.63,500,26006
"9,009,195,502,010",2010,Derby,2898.78,374,12902
"9,005,659,302,006",2006,Roxbury,768.54,17,2212
"9,003,521,402,000",2000,Newington,2221.39,651,29306
"9,011,489,002,010",2010,Montville,597.82,117,19571
"9,005,322,902,010",2010,Goshen,571.24,17,2976
"9,011,802,802,007",2007,Waterford,3091.51,600,19408
"9,011,662,102,006",2006,Salem,818.05,33,4034
"9,003,259,902,010",2010,Enfield,2049.09,915,44654
"9,009,499,502,002",2002,Naugatuck,1819.41,567,31164
"9,001,486,201,998",1998,Monroe,1033.93,199,19247
"9,003,312,402,010",2010,Glastonbury,1057.31,364,34427
"9,011,662,102,010",2010,Salem,1035.89,43,4151
"9,003,849,002,004",2004,Wethersfield,2867.95,758,26430
"9,009,356,502,010",2010,Hamden,1364.83,832,60960
"9,009,787,402,009",2009,Wallingford,1749.62,786,44924
"9,005,526,302,000",2000,New Milford,1194.65,324,27121
"9,013,253,602,009",2009,Ellington,476.07,73,15334
"9,003,326,402,010",2010,Granby,966.14,109,11282
"9,005,804,902,007",2007,Watertown,1621.89,361,22258
"9,005,494,602,002",2002,Morris,776.53,18,2318
"9,003,259,902,009",2009,Enfield,2084.54,932,44710
"9,009,676,102,010",2010,Seymour,1142.68,189,16540
"9,011,489,001,998",1998,Montville,927.42,172,18546
"9,015,360,002,010",2010,Hampton,1019.86,19,1863
"9,005,664,202,006",2006,Salisbury,964.8,37,3835
"9,005,494,602,010",2010,Morris,544.39,13,2388
"9,011,786,002,009",2009,Voluntown,654.85,17,2596
"9,001,336,202,010",2010,Greenwich,936.72,573,61171
"9,013,859,502,004",2004,Willington,934.58,56,5992
"9,015,674,002,006",2006,Scotland,482.51,8,1658
"9,009,349,502,010",2010,Guilford,1944.13,435,22375
"9,011,489,002,002",2002,Montville,1135.94,213,18751
"9,015,674,002,010",2010,Scotland,695.25,12,1726
"9,001,863,702,004",2004,Wilton,662.74,118,17805
"9,015,218,602,010",2010,Eastford,514.58,9,1749
"9,003,825,902,007",2007,West Hartford,2439.87,1546,63364
"9,005,494,601,998",1998,Morris,869.19,20,2301
"9,007,262,702,009",2009,Essex,780.2,52,6665
"9,011,339,002,010",2010,Griswold,937.16,112,11951
"9,009,828,702,007",2007,West Haven,3399.08,1856,54603
"9,009,676,102,006",2006,Seymour,1452.87,234,16106
"9,007,352,302,010",2010,Haddam,694.94,58,8346
"9,001,266,202,009",2009,Fairfield,1880.13,1113,59198
"9,001,681,702,010",2010,Shelton,1246.24,493,39559
"9,005,864,402,004",2004,Winchester,2074.35,226,10895
"9,009,800,702,009",2009,Waterbury,5120.07,5635,110057
"9,011,523,502,000",2000,New London,4047.37,1039,25671
"9,007,473,602,010",2010,Middletown,2398.84,1143,47648
"9,005,795,102,009",2009,Warren,902.78,13,1440
"9,009,499,501,998",1998,Naugatuck,2052.34,636,30989
"9,007,816,802,007",2007,Westbrook,1201.07,81,6744
"9,005,679,602,006",2006,Sharon,630.25,18,2856
"9,003,276,002,009",2009,Farmington,2741.36,690,25170
