"CT County Subdivisions,Year",Year,Town,Total crime Rate,"Crime, Total crime, Number","Total estimated population, Number"
"9,001,047,202,009",2009,Bethel,1165.55,216,18532
"9,001,634,802,006",2006,Redding,738.38,65,8803
"9,003,248,002,010",2010,East Windsor,3010.21,336,11162
"9,011,234,002,009",2009,East Lyme,1086.33,207,19055
"9,007,262,702,010",2010,Essex,613.5,41,6683
"9,009,828,702,004",2004,West Haven,3911.11,2098,53642
"9,001,185,002,010",2010,Danbury,2012.54,1628,80893
"9,007,470,801,998",1998,Middlefield,1808.23,76,4203
"9,001,486,202,010",2010,Monroe,734.12,143,19479
"9,003,504,402,002",2002,New Britain,4843.33,3481,71872
"9,005,795,102,007",2007,Warren,714.8,10,1399
"9,001,639,702,006",2006,Ridgefield,358.91,87,24240
"9,003,059,102,009",2009,Bloomfield,2765.25,564,20396
"9,011,423,902,002",2002,Lebanon,944.61,66,6987
"9,001,266,202,010",2010,Fairfield,1823.11,1083,59404
"9,005,659,302,010",2010,Roxbury,486.3,11,2262
"9,007,816,802,004",2004,Westbrook,1114.5,73,6550
"9,001,188,502,010",2010,Darien,704.23,146,20732
"9,013,778,302,009",2009,Union,238.66,2,838
"9,009,229,102,010",2010,East Haven,3417.99,1000,29257
"9,011,802,802,003",2003,Waterford,3556.22,685,19262
"9,007,473,601,998",1998,Middletown,3451.71,1490,43167
"9,005,797,202,007",2007,Washington,725.65,26,3583
"9,003,653,702,006",2006,Rocky Hill,1562.17,297,19012
"9,001,238,902,010",2010,Easton,467.29,35,7490
"9,009,349,501,999",1999,Guilford,1986.17,425,21398
"9,003,276,002,010",2010,Farmington,2801.89,710,25340
"9,003,248,002,009",2009,East Windsor,3998.91,441,11028
"9,001,834,302,004",2004,Weston,574.6,58,10094
"9,003,226,302,010",2010,East Hartford,3426.21,1756,51252
"9,013,782,502,009",2009,Vernon,1407.09,409,29067
"9,011,342,502,010",2010,Groton,461.17,185,40115
"9,015,218,602,009",2009,Eastford,288.02,5,1736
"9,013,178,002,010",2010,Coventry,1407.32,175,12435
"9,009,800,702,007",2007,Waterbury,5567.54,6093,109438
"9,009,475,351,998",1998,Milford,4133.45,2162,52305
"9,013,253,602,010",2010,Ellington,435.84,68,15602
"9,001,238,902,009",2009,Easton,870.38,65,7468
"9,011,299,102,010",2010,Franklin,2393.34,46,1922
"9,005,664,202,010",2010,Salisbury,1202.89,45,3741
"9,001,835,002,004",2004,Westport,1964.93,511,26006
"9,009,195,502,010",2010,Derby,3177.8,410,12902
"9,005,659,302,006",2006,Roxbury,768.54,17,2212
"9,003,521,402,000",2000,Newington,2252.1,660,29306
"9,011,489,002,010",2010,Montville,659.14,129,19571
"9,005,322,902,010",2010,Goshen,571.24,17,2976
"9,011,802,802,007",2007,Waterford,3292.46,639,19408
"9,011,662,102,006",2006,Salem,867.63,35,4034
"9,003,259,902,010",2010,Enfield,2138.67,955,44654
"9,009,499,502,002",2002,Naugatuck,1934.92,603,31164
"9,001,486,201,998",1998,Monroe,1039.12,200,19247
"9,003,312,402,010",2010,Glastonbury,1141.55,393,34427
"9,011,662,102,010",2010,Salem,1035.89,43,4151
"9,003,849,002,004",2004,Wethersfield,3034.43,802,26430
"9,009,356,502,010",2010,Hamden,1461.61,891,60960
"9,009,787,402,009",2009,Wallingford,1798.59,808,44924
"9,005,526,302,000",2000,New Milford,1279.45,347,27121
"9,013,253,602,009",2009,Ellington,521.72,80,15334
"9,003,326,402,010",2010,Granby,1001.6,113,11282
"9,005,804,902,007",2007,Watertown,1828.56,407,22258
"9,005,494,602,002",2002,Morris,819.67,19,2318
"9,003,259,902,009",2009,Enfield,2191.9,980,44710
"9,009,676,102,010",2010,Seymour,1263.6,209,16540
"9,011,489,001,998",1998,Montville,1256.34,233,18546
"9,015,360,002,010",2010,Hampton,1019.86,19,1863
"9,005,664,202,006",2006,Salisbury,964.8,37,3835
"9,005,494,602,010",2010,Morris,586.26,14,2388
"9,011,786,002,009",2009,Voluntown,770.42,20,2596
"9,001,336,202,010",2010,Greenwich,975.95,597,61171
"9,013,859,502,004",2004,Willington,934.58,56,5992
"9,015,674,002,006",2006,Scotland,482.51,8,1658
"9,009,349,502,010",2010,Guilford,2033.52,455,22375
"9,011,489,002,002",2002,Montville,1471.92,276,18751
"9,015,674,002,010",2010,Scotland,753.19,13,1726
"9,001,863,702,004",2004,Wilton,685.2,122,17805
"9,015,218,602,010",2010,Eastford,571.76,10,1749
"9,003,825,902,007",2007,West Hartford,2589.8,1641,63364
"9,005,494,601,998",1998,Morris,1043.02,24,2301
"9,007,262,702,009",2009,Essex,855.21,57,6665
"9,011,339,002,010",2010,Griswold,1004.1,120,11951
"9,009,828,702,007",2007,West Haven,3812.98,2082,54603
"9,009,676,102,006",2006,Seymour,1645.35,265,16106
"9,007,352,302,010",2010,Haddam,718.91,60,8346
