"CT County Subdivisions,Year",Year,Town,Total violent crime Rate,"Crime, Total violent crime, Number","Total estimated population, Number"
"9,001,047,202,009",2009,Bethel,5.4,1,18532
"9,001,634,802,006",2006,Redding,11.36,1,8803
"9,003,248,002,010",2010,East Windsor,116.47,13,11162
"9,011,234,002,009",2009,East Lyme,47.23,9,19055
"9,007,262,702,010",2010,Essex,14.96,1,6683
"9,009,828,702,004",2004,West Haven,544.35,292,53642
"9,001,185,002,010",2010,Danbury,139.69,113,80893
"9,007,470,801,998",1998,Middlefield,285.51,12,4203
"9,001,486,202,010",2010,Monroe,20.53,4,19479
"9,003,504,402,002",2002,New Britain,445.24,320,71872
"9,005,795,102,007",2007,Warren,71.48,1,1399
"9,001,639,702,006",2006,Ridgefield,8.25,2,24240
"9,003,059,102,009",2009,Bloomfield,220.63,45,20396
"9,011,423,902,002",2002,Lebanon,128.81,9,6987
"9,001,266,202,010",2010,Fairfield,60.6,36,59404
"9,005,659,302,010",2010,Roxbury,0,0,2262
"9,007,816,802,004",2004,Westbrook,106.87,7,6550
"9,001,188,502,010",2010,Darien,4.82,1,20732
"9,013,778,302,009",2009,Union,0,0,838
"9,009,229,102,010",2010,East Haven,143.56,42,29257
"9,011,802,802,003",2003,Waterford,238.81,46,19262
"9,007,473,601,998",1998,Middletown,94.98,41,43167
"9,005,797,202,007",2007,Washington,27.91,1,3583
"9,003,653,702,006",2006,Rocky Hill,47.34,9,19012
"9,001,238,902,010",2010,Easton,0,0,7490
"9,009,349,501,999",1999,Guilford,98.14,21,21398
"9,003,276,002,010",2010,Farmington,43.41,11,25340
"9,003,248,002,009",2009,East Windsor,108.81,12,11028
"9,001,834,302,004",2004,Weston,9.91,1,10094
"9,003,226,302,010",2010,East Hartford,364.86,187,51252
"9,013,782,502,009",2009,Vernon,106.65,31,29067
"9,011,342,502,010",2010,Groton,64.81,26,40115
"9,015,218,602,009",2009,Eastford,115.21,2,1736
"9,013,178,002,010",2010,Coventry,56.29,7,12435
"9,009,800,702,007",2007,Waterbury,356.37,390,109438
"9,009,475,351,998",1998,Milford,133.83,70,52305
"9,013,253,602,010",2010,Ellington,32.05,5,15602
"9,001,238,902,009",2009,Easton,26.78,2,7468
"9,011,299,102,010",2010,Franklin,0,0,1922
"9,005,664,202,010",2010,Salisbury,80.19,3,3741
"9,001,835,002,004",2004,Westport,42.3,11,26006
"9,009,195,502,010",2010,Derby,279.03,36,12902
"9,005,659,302,006",2006,Roxbury,0,0,2212
"9,003,521,402,000",2000,Newington,30.71,9,29306
"9,011,489,002,010",2010,Montville,61.32,12,19571
"9,005,322,902,010",2010,Goshen,0,0,2976
"9,011,802,802,007",2007,Waterford,200.95,39,19408
"9,011,662,102,006",2006,Salem,49.58,2,4034
"9,003,259,902,010",2010,Enfield,89.58,40,44654
"9,009,499,502,002",2002,Naugatuck,115.52,36,31164
"9,001,486,201,998",1998,Monroe,5.2,1,19247
"9,003,312,402,010",2010,Glastonbury,84.24,29,34427
"9,011,662,102,010",2010,Salem,0,0,4151
"9,003,849,002,004",2004,Wethersfield,166.48,44,26430
"9,009,356,502,010",2010,Hamden,96.78,59,60960
"9,009,787,402,009",2009,Wallingford,48.97,22,44924
"9,005,526,302,000",2000,New Milford,84.81,23,27121
"9,013,253,602,009",2009,Ellington,45.65,7,15334
"9,003,326,402,010",2010,Granby,35.45,4,11282
"9,005,804,902,007",2007,Watertown,206.67,46,22258
"9,005,494,602,002",2002,Morris,43.14,1,2318
"9,003,259,902,009",2009,Enfield,107.36,48,44710
"9,009,676,102,010",2010,Seymour,120.92,20,16540
"9,011,489,001,998",1998,Montville,328.91,61,18546
"9,015,360,002,010",2010,Hampton,0,0,1863
"9,005,664,202,006",2006,Salisbury,0,0,3835
"9,005,494,602,010",2010,Morris,41.88,1,2388
